Nombre,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Color
Cultura y estilo de vida,cultura-y-estilo-de-vida,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9c7,Tue Oct 22 2024 21:07:28 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:07:28 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#eb5757
Educación financiera,educacion-financiera,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9c6,Tue Oct 22 2024 21:07:59 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:07:59 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#83a1ff
Emprendimiento y negocios,emprendimiento-y-negocios,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9c4,Tue Oct 22 2024 21:11:18 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:17:39 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),"#00ffa6"
Innovación y tecnología,innovacion-y-tecnologia,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9c9,Tue Oct 22 2024 21:08:34 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:08:34 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#c7fb56
Noticias y actualizaciones,noticias-y-actualizaciones,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9ca,Tue Oct 22 2024 21:10:01 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:10:24 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#efbeeb
Prevención de fraude,prevencion-de-fraude,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9c5,Tue Oct 22 2024 21:12:23 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:12:23 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#7c5ce1
Productos y servicios,productos-y-servicios,6724e9d1c092c8aa5fadd926,6724e9d1c092c8aa5fadd922,6724e9d1c092c8aa5fadd9cb,Tue Oct 22 2024 21:12:05 GMT+0000 (Coordinated Universal Time),Tue Oct 22 2024 21:12:05 GMT+0000 (Coordinated Universal Time),Fri Nov 01 2024 18:59:52 GMT+0000 (Coordinated Universal Time),#ff8540
